name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,Class,PDB_code
actives_best/mini_1a28_model0_chainB_STR_resi2__chainB.pdb,-0.184005734,701.4,0.846446492,0.153553508,-36.06820207,-37.32039899,12.82060886,-1.920443218,-2.179052893,0,-1.585948621,5.090077999,1,7,422,32,18,25,1,0,0,0,0,0,-51305.77521,1,26,4918,1062,1104,127,0,0,0,0,447,100,106,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80952381,2,0,4.7235,34.14,1,1A28_STR
actives_best/mini_1a6v_model0_chainH_NPC_altA_resi432__chainI_altA_chainM_altB.pdb,-0.051947871,594.8,0.636849372,0.363150628,-23.7873366,-25.50193952,4.720431065,6.557934134,-3.280292923,0,-3.415020983,19.02327383,2,6,0,124,142,0,0,2,0,0,0,0,-292682.6659,6,32,1825,474,463,0,351,91,86,1,900,224,228,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,4,4,1.4955,126.94,1,1A6V_NPC
actives_best/mini_1a9u_model0_chainA_SB2_resi800__chainA.pdb,-0.021131932,647.2,0.741420361,0.258579639,-30.7841022,-30.85852802,9.346083594,3.316231481,-4.277781288,-2.3039541,-1.614635003,1.195488476,2,0,11,229,76,0,37,7,0,0,0,0,-111058.5825,2,36,3143,804,885,29,450,122,131,6,58,18,25,0,218,43,48,1,0,0,0,0,70,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,3,1,4.6822,58.64,1,1A9U_SB2
actives_best/mini_1afe_model0_chainH_ALZ_resi600__chainH.pdb,-0.13766422,796.5,0.567199805,0.432800195,-27.89799687,-33.24686443,5.727227645,13.372526,-3.956453407,-4.134600229,-1.305370731,5.686837126,4,2,0,11,303,0,14,76,0,0,0,2,-102408.269,4,21,2507,629,753,54,688,182,223,17,442,111,139,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529411765,5,3,1.1473,96.69,1,1AFE_ALZ
actives_best/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH.pdb,-0.079366763,589.8,0.733329264,0.266670736,-27.77096181,-33.71450811,10.64026183,10.93508696,-7.495546061,-1.062926701,-0.499747808,3.407289381,2,5,0,135,194,0,3,21,0,0,1,2,-11845.64596,2,30,2107,530,521,14,260,61,56,3,1295,314,322,8,0,0,0,0,192,50,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636364,5,3,2.3053,124.14,1,1AJ7_NPE
actives_best/mini_1bgq_model0_chainA_RDC_resi300__chainA.pdb,-0.192829819,724.1,0.768128756,0.231871244,-29.77831024,-28.45600689,5.677146015,4.307935283,-6.241739607,0,-2.048789248,6.096973245,1,4,149,106,30,20,12,0,0,0,0,0,87548.67539,1,20,3065,786,969,18,0,0,0,0,1060,267,328,6,0,0,0,0,0,0,0,0,0,0,0,0,209,51,60,1,0,0,0,0,0,0,0,0,0.333333333,6,2,2.6916,96.36,1,1BGQ_RDC
actives_best/mini_1bl7_model0_chainA_SB4_resi800__chainA.pdb,-0.159444465,769.3,0.682654373,0.317345627,-33.16795576,-31.78077992,7.425656276,4.683394023,-6.576184087,-3.454583903,0,15.03018669,2,3,16,198,135,0,28,16,0,0,0,0,-55590.16655,3,28,3148,825,907,29,935,270,285,11,0,0,0,0,218,42,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277777778,6,2,2.6529,81.65,1,1BL7_SB4
actives_best/mini_1bmk_model0_chainA_SB5_resi800__chainA.pdb,-0.127602601,674.3,0.650346932,0.349653068,-34.03912826,-31.15440431,8.49106251,6.478953044,-7.651140931,-4.029192975,-1.718644156,18.79848531,3,1,16,277,40,0,62,14,0,0,0,0,-88415.1587,3,29,2822,708,780,28,757,208,228,10,0,0,0,0,217,44,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,5,1,3.1384,69.62,1,1BMK_SB5
actives_best/mini_1c1b_model0_chainA_GCA_resi999__chainA.pdb,-0.200982821,814.8,0.891332922,0.108667078,-46.89490506,-43.06638968,10.86335402,-5.088151325,-2.207556338,-1.165494991,0,13.94796615,1,0,0,508,22,0,54,4,0,0,0,0,-110968.2943,1,52,3836,882,898,8,412,102,96,0,602,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473684211,4,1,2.86164,64.09,1,1C1B_GCA
actives_best/mini_1c1c_model0_chainA_612_resi999__chainA.pdb,-0.236174722,811.4,0.865249747,0.134750253,-39.06566781,-39.52033967,9.175647335,0.931880614,-2.710498452,-1.03464287,0,17.0345257,1,3,0,405,40,0,54,11,0,0,0,0,-87000.44356,1,27,3198,746,767,10,401,97,96,0,597,145,146,0,0,0,0,0,0,0,0,0,216,49,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,5,1,3.0788,64.09,1,1C1C_612
